Date,Value
1975-09-18,82.26
1975-09-25,86.75
1975-10-02,90.11
1975-10-09,94.86
1975-10-16,89.68
1975-10-23,90.16
1975-10-30,85.73
1975-11-06,96.82
1975-11-13,100.37
1975-11-20,93.43
1975-11-27,94.12
1975-12-04,89.26
1975-12-11,91.81
1975-12-18,97.4
1975-12-25,102.71
1976-01-01,101.94
1976-01-08,97.4
1976-01-15,96.12
1976-01-22,105.45
1976-01-29,94.34
1976-02-05,92.51
1976-02-12,88.47
1976-02-19,85.47
1976-02-26,85.7
1976-03-04,84.48
1976-03-11,85.63
1976-03-18,79.67
1976-03-25,80.78
1976-04-01,74.58
1976-04-08,76.32
1976-04-15,80.37
1976-04-22,83.3
1976-04-29,82.98
1976-05-06,91.34
1976-05-13,78.57
1976-05-20,76.68
1976-05-27,76.47
1976-06-03,73.66
1976-06-10,78.61
1976-06-17,83.4
1976-06-24,71.96
1976-07-01,77.17
1976-07-08,72.38
1976-07-15,79.52
1976-07-22,72.05
1976-07-29,75.86
1976-08-05,74.32
1976-08-12,77.7
1976-08-19,82.99
1976-08-26,77.79
1976-09-02,77.42
1976-09-09,85.55
1976-09-16,85.33
1976-09-23,82.16
1976-09-30,83.74
1976-10-07,84.4
1976-10-14,90.32
1976-10-21,82.74
1976-10-28,91.5
1976-11-04,96.23
1976-11-11,92.9
1976-11-18,92.3
1976-11-25,91.76
1976-12-02,92.34
1976-12-09,78.91
1976-12-16,88.06
1976-12-23,81.91
1976-12-30,79.68
1977-01-06,83.2
1977-01-13,84.05
1977-01-20,85.8
1977-01-27,84.39
1977-02-03,91.74
1977-02-10,90.65
1977-02-17,89.67
1977-02-24,86.24
1977-03-03,91.46
1977-03-10,83.3
1977-03-17,83.05
1977-03-24,74.14
1977-03-31,90.12
1977-04-07,83.84
1977-04-14,79.94
1977-04-21,74.65
1977-04-28,77.89
1977-05-05,78.06
1977-05-12,74.96
1977-05-19,77.9
1977-05-26,73.65
1977-06-02,79.32
1977-06-09,82.91
1977-06-16,79.48
1977-06-23,73.21
1977-06-30,76.46
1977-07-07,73.76
1977-07-14,68.11
1977-07-21,76.53
1977-07-28,68.46
1977-08-04,72.84
1977-08-11,79.92
1977-08-18,73.26
1977-08-25,79.55
1977-09-01,77.02
1977-09-08,78.39
1977-09-15,81.86
1977-09-22,88.2
1977-09-29,75.69
1977-10-06,88.85
1977-10-13,82.52
1977-10-20,87.44
1977-10-27,82.91
1977-11-03,92.84
1977-11-10,91.85
1977-11-17,89.82
1977-11-24,96.84
1977-12-01,99.56
1977-12-08,105.1
1977-12-15,95.7
1977-12-22,93.46
1977-12-29,99.27
1978-01-05,90.39
1978-01-12,85.85
1978-01-19,86.69
1978-01-26,92.94
1978-02-02,86.63
1978-02-09,89.78
1978-02-16,83.22
1978-02-23,86.04
1978-03-02,81.53
1978-03-09,77.46
1978-03-16,76.63
1978-03-23,82.09
1978-03-30,81.22
1978-04-06,70.96
1978-04-13,80.17
1978-04-20,78.48
1978-04-27,76.8
1978-05-04,77.63
1978-05-11,74.31
1978-05-18,76.3
1978-05-25,85.97
1978-06-01,73.07
1978-06-08,76.29
1978-06-15,75.21
1978-06-22,79.18
1978-06-29,78.25
1978-07-06,77.24
1978-07-13,81.55
1978-07-20,75.46
1978-07-27,76.86
1978-08-03,88.43
1978-08-10,92.93
1978-08-17,77.65
1978-08-24,78.74
1978-08-31,73.63
1978-09-07,82.11
1978-09-14,80.81
1978-09-21,84.34
1978-09-28,83.48
1978-10-05,76.4
1978-10-12,92.77
1978-10-19,88.09
1978-10-26,96.2
1978-11-02,100.28
1978-11-09,107.58
1978-11-16,93.73
1978-11-23,87.33
1978-11-30,88.11
1978-12-07,88.07
1978-12-14,100.81
1978-12-21,95.52
1978-12-28,91.14
1979-01-04,85.67
1979-01-11,88.24
1979-01-18,88.61
1979-01-25,85.64
1979-02-01,87.29
1979-02-08,83.92
1979-02-15,89.15
1979-02-22,87.61
1979-03-01,81.99
1979-03-08,84.86
1979-03-15,81.17
1979-03-22,87.33
1979-03-29,86.4
1979-04-05,85.9
1979-04-12,79.01
1979-04-19,83.49
1979-04-26,87.88
1979-05-03,74.94
1979-05-10,80.32
1979-05-17,81.75
1979-05-24,78.68
1979-05-31,74.62
1979-06-07,74.16
1979-06-14,71.5
1979-06-21,75.89
1979-06-28,74.89
1979-07-05,77.36
1979-07-12,73.63
1979-07-19,81.17
1979-07-26,83.91
1979-08-02,82.36
1979-08-09,79.74
1979-08-16,73.46
1979-08-23,79.03
1979-08-30,76.56
1979-09-06,78.52
1979-09-13,89.43
1979-09-20,85.49
